y,Angola,Botswana,DRC_South,Eswatini,Lesotho,Malawi,Namibia,South_Africa,Tanzania,Zambia,Zimbabwe
2024,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.07
2025,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.07
2026,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.07
2027,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.07
2028,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2029,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2030,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2031,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2032,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2033,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2034,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2035,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2036,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2037,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2038,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2039,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2040,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2041,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2042,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2043,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2044,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2045,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2046,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2047,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2048,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2049,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2050,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2051,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2052,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2053,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2054,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2055,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2056,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2057,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2058,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2059,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
2060,0.01,0.4,0.6,0.6,0.6,0.2,0.5,0.01,0.01,0.03,0.05
