c,z,attribute,y,uni,value
Angola,Angola_Central,Costs,2025.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2025.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2025.0,Export revenues with internal zones: $m,0.0
Angola,Angola_Central,Costs,2025.0,Fixed O&M: $m,13.6693954
Angola,Angola_Central,Costs,2025.0,Fuel costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Generation costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Import costs with external zones: $m,0.0
Angola,Angola_Central,Costs,2025.0,Import costs with internal zones: $m,0.953453680252054
Angola,Angola_Central,Costs,2025.0,NPV of system cost: $m,0.0
Angola,Angola_Central,Costs,2025.0,Spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Startup costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Trade shared benefits: $m,-0.0333708788088219
Angola,Angola_Central,Costs,2025.0,Transmission costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet demand costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2025.0,VRE curtailment: $m,0.0
Angola,Angola_Central,Costs,2025.0,Variable O&M: $m,0.12471744
Angola,Angola_Central,Costs,2026.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2026.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2026.0,Export revenues with internal zones: $m,0.0
Angola,Angola_Central,Costs,2026.0,Fixed O&M: $m,13.6693954
Angola,Angola_Central,Costs,2026.0,Fuel costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Generation costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Import costs with external zones: $m,0.0
Angola,Angola_Central,Costs,2026.0,Import costs with internal zones: $m,0.9939990309862412
Angola,Angola_Central,Costs,2026.0,NPV of system cost: $m,0.0
Angola,Angola_Central,Costs,2026.0,Spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Startup costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Trade shared benefits: $m,-0.0347899660845184
Angola,Angola_Central,Costs,2026.0,Transmission costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet demand costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2026.0,VRE curtailment: $m,0.0
Angola,Angola_Central,Costs,2026.0,Variable O&M: $m,0.12471744
Angola,Angola_Central,Costs,2027.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2027.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2027.0,Export revenues with internal zones: $m,-0.0009620905329045
Angola,Angola_Central,Costs,2027.0,Fixed O&M: $m,13.6693954
Angola,Angola_Central,Costs,2027.0,Fuel costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Generation costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Import costs with external zones: $m,0.0
Angola,Angola_Central,Costs,2027.0,Import costs with internal zones: $m,1.0401931200830918
Angola,Angola_Central,Costs,2027.0,NPV of system cost: $m,0.0
Angola,Angola_Central,Costs,2027.0,Spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Startup costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Trade shared benefits: $m,-0.0364429669111358
Angola,Angola_Central,Costs,2027.0,Transmission costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet demand costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2027.0,VRE curtailment: $m,0.0
Angola,Angola_Central,Costs,2027.0,Variable O&M: $m,0.1247174399999999
Angola,Angola_Central,Costs,2028.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2028.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2028.0,Export revenues with internal zones: $m,-0.0013668062732184
Angola,Angola_Central,Costs,2028.0,Fixed O&M: $m,13.6693954
Angola,Angola_Central,Costs,2028.0,Fuel costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Generation costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Import costs with external zones: $m,0.0
Angola,Angola_Central,Costs,2028.0,Import costs with internal zones: $m,1.0790257537501415
Angola,Angola_Central,Costs,2028.0,NPV of system cost: $m,0.0
Angola,Angola_Central,Costs,2028.0,Spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Startup costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Trade shared benefits: $m,-0.0378173403270212
Angola,Angola_Central,Costs,2028.0,Transmission costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet demand costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2028.0,VRE curtailment: $m,0.0
Angola,Angola_Central,Costs,2028.0,Variable O&M: $m,0.12471744
Angola,Angola_Central,Costs,2029.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2029.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2029.0,Export revenues with internal zones: $m,-173.11308824080683
Angola,Angola_Central,Costs,2029.0,Fixed O&M: $m,13.6693954
Angola,Angola_Central,Costs,2029.0,Fuel costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Generation costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Import costs with external zones: $m,0.0
Angola,Angola_Central,Costs,2029.0,Import costs with internal zones: $m,278.0910490339102
Angola,Angola_Central,Costs,2029.0,NPV of system cost: $m,0.0
Angola,Angola_Central,Costs,2029.0,Spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Startup costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Trade shared benefits: $m,-182.63379865259355
Angola,Angola_Central,Costs,2029.0,Transmission costs: $m,15.468930379150429
Angola,Angola_Central,Costs,2029.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2029.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Unmet demand costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2029.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2029.0,VRE curtailment: $m,0.0
Angola,Angola_Central,Costs,2029.0,Variable O&M: $m,0.12471744
Angola,Angola_Central,Costs,2030.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2030.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2030.0,Export revenues with internal zones: $m,-176.8679616443474
Angola,Angola_Central,Costs,2030.0,Fixed O&M: $m,13.6693954
Angola,Angola_Central,Costs,2030.0,Fuel costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Generation costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Import costs with external zones: $m,0.0
Angola,Angola_Central,Costs,2030.0,Import costs with internal zones: $m,288.8855607762925
Angola,Angola_Central,Costs,2030.0,NPV of system cost: $m,0.0
Angola,Angola_Central,Costs,2030.0,Spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Startup costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Trade shared benefits: $m,-186.9596430337067
Angola,Angola_Central,Costs,2030.0,Transmission costs: $m,15.468930379150429
Angola,Angola_Central,Costs,2030.0,Unmet country CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2030.0,Unmet country planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Unmet country spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Unmet demand costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Unmet system CO2 backstop cost: $m,0.0
Angola,Angola_Central,Costs,2030.0,Unmet system planning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,Unmet system spinning reserve costs: $m,0.0
Angola,Angola_Central,Costs,2030.0,VRE curtailment: $m,0.0
Angola,Angola_Central,Costs,2030.0,Variable O&M: $m,0.12471744
Angola,Angola_Central,Costs,2031.0,Carbon costs: $m,0.0
Angola,Angola_Central,Costs,2031.0,Excess generation: $m,0.0
Angola,Angola_Central,Costs,2031.0,Export revenues with external zones: $m,0.0
Angola,Angola_Central,Costs,2031.0,Export revenues with internal zones: $m,-179.69704741625785
