gen,Q1,Q2,Q3,Q4
AKKUYU_1,0.9,0.9,0.9,0.9
AKKUYU_2,0.9,0.9,0.9,0.9
AKKUYU_3,0.9,0.9,0.9,0.9
AKKUYU_4,0.9,0.9,0.9,0.9
SINOP_1,0.9,0.9,0.9,0.9
SINOP_2,0.9,0.9,0.9,0.9
SINOP_3,0.9,0.9,0.9,0.9
SINOP_4,0.9,0.9,0.9,0.9
TRAKYA_1,0.9,0.9,0.9,0.9
TRAKYA_2,0.9,0.9,0.9,0.9
TRAKYA_3,0.9,0.9,0.9,0.9
TRAKYA_4,0.9,0.9,0.9,0.9
SMR_Trakia,0.9,0.9,0.9,0.9
SMR_Northwest,0.9,0.9,0.9,0.9
SMR_WestAna,0.9,0.9,0.9,0.9
GEBZE_1_NG,0.7,0.6,0.7,0.7
GEBZE_2_NG,0.7,0.6,0.7,0.7
ADA_NG,0.7,0.6,0.7,0.7
ALES_NG,0.7,0.6,0.7,0.7
KIRKLARELI_NG,0.7,0.6,0.7,0.7
AKSA_ANTALYA_NG,0.7,0.6,0.7,0.7
AKSA_AKRILIK_NG,0.7,0.6,0.7,0.7
CAMIS_KIRKLARELI_NG,0.7,0.6,0.7,0.7
CENGIZ_610_NG,0.7,0.6,0.7,0.7
COLAKOGLU_1_NG,0.7,0.6,0.7,0.7
DELTA_NG,0.7,0.6,0.7,0.7
RWE_DENIZLI_NG,0.7,0.6,0.7,0.7
ERZIN_NG,0.7,0.6,0.7,0.7
ENTEK_KOSEKOY_NG,0.7,0.6,0.7,0.7
EUAS_ESENYURT_NG,0.7,0.6,0.7,0.7
HABAS_NG,0.7,0.6,0.7,0.7
HAMITABAT_1_NG,0.7,0.6,0.7,0.7
HAMITABAT_2_NG,0.7,0.6,0.7,0.7
HAYAT_KIMYA_NG,0.7,0.6,0.7,0.7
BANDIRMA_1_NG,0.7,0.6,0.7,0.7
BANDIRMA_2_NG,0.7,0.6,0.7,0.7
ANKARA_NG,0.7,0.6,0.7,0.7
ICANADOLU_NG,0.7,0.6,0.7,0.7
EUAS_BURSA_1_NG,0.7,0.6,0.7,0.7
EUAS_BURSA_2_NG,0.7,0.6,0.7,0.7
EUAS_ISTANBUL_A1_NG,0.7,0.6,0.7,0.7
EUAS_ISTANBUL_A2_NG,0.7,0.6,0.7,0.7
EUAS_ISTANBUL_A3_NG,0.7,0.6,0.7,0.7
EUAS_ISTANBUL_B1_NG,0.7,0.6,0.7,0.7
EUAS_ISTANBUL_B2_NG,0.7,0.6,0.7,0.7
IZMIR_1_NG,0.7,0.6,0.7,0.7
IZMIR_2_NG,0.7,0.6,0.7,0.7
MARMARA_PAMUKLU_NG,0.7,0.6,0.7,0.7
BIS_NG,0.7,0.6,0.7,0.7
PETKIM_NG,0.7,0.6,0.7,0.7
BILGIN_1_NG,0.7,0.6,0.7,0.7
BILGIN_2_NG,0.7,0.6,0.7,0.7
TAHA_NG,0.7,0.6,0.7,0.7
TUPRAS_IZMIT_NG,0.7,0.6,0.7,0.7
EUAS_TEKIRDAG_A_NG,0.7,0.6,0.7,0.7
EUAS_TEKIRDAG_B_NG,0.7,0.6,0.7,0.7
KAZAN_NG,0.7,0.6,0.7,0.7
KIRIKKALE_NG,0.7,0.6,0.7,0.7
YENI_NG,0.7,0.6,0.7,0.7
WestAna_AGG_NG,0.7,0.6,0.7,0.7
