c,z,attribute,y,uni,value
Benin,Benin,CapexInvestmentComponent,2026,Generation,42680000.0
Benin,Benin,CapexInvestmentComponent,2027,Generation,77242000.0
Benin,Benin,CapexInvestmentComponent,2027,StorageEnergy,33386414.7925
Benin,Benin,CapexInvestmentComponent,2028,Generation,183330000.0
Benin,Benin,CapexInvestmentComponent,2028,StorageEnergy,29625723.468
Benin,Benin,CapexInvestmentComponent,2029,Generation,119310000.0
Benin,Benin,CapexInvestmentComponent,2029,StorageEnergy,27828938.896
Benin,Benin,CapexInvestmentComponent,2030,Generation,1838300000.0
Benin,Benin,CapexInvestmentComponent,2030,StorageEnergy,43504494.05616273
Benin,Benin,CapexInvestmentComponent,2031,Generation,302640000.0
Benin,Benin,CapexInvestmentComponent,2031,StorageEnergy,237870848.9302345
Benin,Benin,CapexInvestmentComponent,2032,Generation,294880000.0
Benin,Benin,CapexInvestmentComponent,2032,StorageEnergy,105247204.96197195
Benin,Benin,CapexInvestmentComponent,2033,Generation,287120000.0
Benin,Benin,CapexInvestmentComponent,2033,StorageEnergy,56602503.98683846
Benin,Benin,CapexInvestmentComponent,2034,Generation,279360000.0
Benin,Benin,CapexInvestmentComponent,2034,StorageEnergy,103937894.53310476
Benin,Benin,CapexInvestmentComponent,2035,Generation,271600000.0
Benin,Benin,CapexInvestmentComponent,2035,StorageEnergy,56650047.23162852
Benin,Benin,CapexInvestmentComponent,2040,StorageEnergy,218678446.68679503
Benin,Benin,CapexInvestmentComponent,2045,Generation,742292658.0408809
Benin,Benin,CapexInvestmentComponent,2045,StorageEnergy,226495894.4344815
Benin,Benin,CapexInvestmentComponent,2050,Generation,985803877.8055328
Benin,Benin,CapexInvestmentComponent,2050,StorageEnergy,192400426.3206854
Benin,Benin,CapexInvestmentComponentCumulated,2026,Generation,42680000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,Generation,119922000.0
Benin,Benin,CapexInvestmentComponentCumulated,2027,StorageEnergy,33386414.7925
Benin,Benin,CapexInvestmentComponentCumulated,2028,Generation,303252000.0
Benin,Benin,CapexInvestmentComponentCumulated,2028,StorageEnergy,63012138.2605
Benin,Benin,CapexInvestmentComponentCumulated,2029,Generation,422562000.0
Benin,Benin,CapexInvestmentComponentCumulated,2029,StorageEnergy,90841077.1565
Benin,Benin,CapexInvestmentComponentCumulated,2030,Generation,2260862000.0
Benin,Benin,CapexInvestmentComponentCumulated,2030,StorageEnergy,134345571.21266273
Benin,Benin,CapexInvestmentComponentCumulated,2031,Generation,2563502000.0
Benin,Benin,CapexInvestmentComponentCumulated,2031,StorageEnergy,372216420.1428973
Benin,Benin,CapexInvestmentComponentCumulated,2032,Generation,2858382000.0
Benin,Benin,CapexInvestmentComponentCumulated,2032,StorageEnergy,477463625.1048692
Benin,Benin,CapexInvestmentComponentCumulated,2033,Generation,3145502000.0
Benin,Benin,CapexInvestmentComponentCumulated,2033,StorageEnergy,534066129.0917077
Benin,Benin,CapexInvestmentComponentCumulated,2034,Generation,3424862000.0
Benin,Benin,CapexInvestmentComponentCumulated,2034,StorageEnergy,638004023.6248124
Benin,Benin,CapexInvestmentComponentCumulated,2035,Generation,3696462000.0
Benin,Benin,CapexInvestmentComponentCumulated,2035,StorageEnergy,694654070.8564409
Benin,Benin,CapexInvestmentComponentCumulated,2040,StorageEnergy,913332517.543236
Benin,Benin,CapexInvestmentComponentCumulated,2045,Generation,4438754658.040881
Benin,Benin,CapexInvestmentComponentCumulated,2045,StorageEnergy,1139828411.9777174
Benin,Benin,CapexInvestmentComponentCumulated,2050,Generation,5424558535.846414
Benin,Benin,CapexInvestmentComponentCumulated,2050,StorageEnergy,1332228838.2984028
Burkina,Burkina,CapexInvestmentComponent,2026,Generation,181392000.0
Burkina,Burkina,CapexInvestmentComponent,2026,StorageEnergy,12457234.7295
Burkina,Burkina,CapexInvestmentComponent,2028,Generation,146664000.0
Burkina,Burkina,CapexInvestmentComponent,2028,StorageEnergy,36880484.06396882
Burkina,Burkina,CapexInvestmentComponent,2029,Generation,397700000.0
Burkina,Burkina,CapexInvestmentComponent,2029,StorageEnergy,143082021.33273453
Burkina,Burkina,CapexInvestmentComponent,2030,Generation,717098631.4635966
Burkina,Burkina,CapexInvestmentComponent,2030,StorageEnergy,81917654.7723506
Burkina,Burkina,CapexInvestmentComponent,2031,Generation,350051732.8656723
Burkina,Burkina,CapexInvestmentComponent,2031,StorageEnergy,107247254.08758415
Burkina,Burkina,CapexInvestmentComponent,2032,Generation,465861061.17154765
Burkina,Burkina,CapexInvestmentComponent,2032,StorageEnergy,99038700.2013448
Burkina,Burkina,CapexInvestmentComponent,2033,Generation,367616551.9858944
Burkina,Burkina,CapexInvestmentComponent,2033,StorageEnergy,125778253.95638944
Burkina,Burkina,CapexInvestmentComponent,2034,Generation,372621318.0531112
Burkina,Burkina,CapexInvestmentComponent,2034,StorageEnergy,135261258.59322125
Burkina,Burkina,CapexInvestmentComponent,2035,Generation,321983150.04425466
Burkina,Burkina,CapexInvestmentComponent,2035,StorageEnergy,99839228.2
Burkina,Burkina,CapexInvestmentComponent,2040,Generation,410061332.8943432
Burkina,Burkina,CapexInvestmentComponent,2040,StorageEnergy,320878771.088905
Burkina,Burkina,CapexInvestmentComponent,2045,Generation,837931415.7622311
Burkina,Burkina,CapexInvestmentComponent,2045,StorageEnergy,326024736.358141
Burkina,Burkina,CapexInvestmentComponent,2050,Generation,1175354995.1399934
Burkina,Burkina,CapexInvestmentComponent,2050,StorageEnergy,284536818.5993814
Burkina,Burkina,CapexInvestmentComponentCumulated,2026,Generation,181392000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2026,StorageEnergy,12457234.7295
Burkina,Burkina,CapexInvestmentComponentCumulated,2028,Generation,328056000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2028,StorageEnergy,49337718.79346882
Burkina,Burkina,CapexInvestmentComponentCumulated,2029,Generation,725756000.0
Burkina,Burkina,CapexInvestmentComponentCumulated,2029,StorageEnergy,192419740.12620336
Burkina,Burkina,CapexInvestmentComponentCumulated,2030,Generation,1442854631.4635966
Burkina,Burkina,CapexInvestmentComponentCumulated,2030,StorageEnergy,274337394.898554
Burkina,Burkina,CapexInvestmentComponentCumulated,2031,Generation,1792906364.329269
Burkina,Burkina,CapexInvestmentComponentCumulated,2031,StorageEnergy,381584648.9861381
Burkina,Burkina,CapexInvestmentComponentCumulated,2032,Generation,2258767425.5008163
Burkina,Burkina,CapexInvestmentComponentCumulated,2032,StorageEnergy,480623349.1874829
Burkina,Burkina,CapexInvestmentComponentCumulated,2033,Generation,2626383977.486711
Burkina,Burkina,CapexInvestmentComponentCumulated,2033,StorageEnergy,606401603.1438724
Burkina,Burkina,CapexInvestmentComponentCumulated,2034,Generation,2999005295.539822
Burkina,Burkina,CapexInvestmentComponentCumulated,2034,StorageEnergy,741662861.7370936
Burkina,Burkina,CapexInvestmentComponentCumulated,2035,Generation,3320988445.584077
Burkina,Burkina,CapexInvestmentComponentCumulated,2035,StorageEnergy,841502089.9370936
Burkina,Burkina,CapexInvestmentComponentCumulated,2040,Generation,3731049778.47842
Burkina,Burkina,CapexInvestmentComponentCumulated,2040,StorageEnergy,1162380861.0259986
Burkina,Burkina,CapexInvestmentComponentCumulated,2045,Generation,4568981194.240651
Burkina,Burkina,CapexInvestmentComponentCumulated,2045,StorageEnergy,1488405597.3841395
Burkina,Burkina,CapexInvestmentComponentCumulated,2050,Generation,5744336189.380645
Burkina,Burkina,CapexInvestmentComponentCumulated,2050,StorageEnergy,1772942415.983521
Gambia,Gambia,CapexInvestmentComponent,2026,Generation,128040000.0
Gambia,Gambia,CapexInvestmentComponent,2026,StorageEnergy,9814790.999
Gambia,Gambia,CapexInvestmentComponent,2027,StorageEnergy,4177765.2735
Gambia,Gambia,CapexInvestmentComponent,2028,Generation,33480000.0
Gambia,Gambia,CapexInvestmentComponent,2029,StorageEnergy,5092153.189657244
Gambia,Gambia,CapexInvestmentComponent,2030,Generation,150150000.0
Gambia,Gambia,CapexInvestmentComponent,2030,StorageEnergy,1721533.0400688243
Gambia,Gambia,CapexInvestmentComponent,2031,Generation,150150000.0
Gambia,Gambia,CapexInvestmentComponent,2031,StorageEnergy,5996718.348874298
Gambia,Gambia,CapexInvestmentComponent,2032,Generation,44780651.781947486
Gambia,Gambia,CapexInvestmentComponent,2032,StorageEnergy,2483252.876375133
Gambia,Gambia,CapexInvestmentComponent,2033,Generation,29030797.840583257
Gambia,Gambia,CapexInvestmentComponent,2033,StorageEnergy,1944000.669662004
Gambia,Gambia,CapexInvestmentComponent,2034,Generation,144300000.0
Gambia,Gambia,CapexInvestmentComponent,2034,StorageEnergy,11016683.110486696
Gambia,Gambia,CapexInvestmentComponent,2040,StorageEnergy,8309519.987613954
Gambia,Gambia,CapexInvestmentComponent,2045,Generation,122833704.29409105
Gambia,Gambia,CapexInvestmentComponent,2045,StorageEnergy,31130044.76082544
Gambia,Gambia,CapexInvestmentComponent,2050,Generation,266782816.63050464
