c,z,attribute,y,tech,f,techfuel,value
Benin,Benin,CapacityTechFuel,2026,Nuclear,Uranium,Nuclear,0.0
Benin,Benin,CapacityTechFuel,2026,CCGT,Gas,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,CCGT,LNG,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,CCGT,ALC,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,ICE,Gas,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,ICE,LNG,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,OCGT,Gas,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,OCGT,LNG,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Gas,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,ST,ALC,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Shale,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,CCGT_CCS,Gas,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,OCGT_CCS,Gas,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,GT,ALC,Gas,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Coal,Coal,0.0
Benin,Benin,CapacityTechFuel,2026,ST,DomesticCoal,Coal,0.0
Benin,Benin,CapacityTechFuel,2026,ST,ImportedCoal,Coal,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Lignite,Coal,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Geothermal,Geothermal,0.0
Benin,Benin,CapacityTechFuel,2026,Geothermal,Geothermal,Geothermal,0.0
Benin,Benin,CapacityTechFuel,2026,CCGT,LFO,Diesel,0.0
Benin,Benin,CapacityTechFuel,2026,ICE,Diesel,Diesel,0.0
Benin,Benin,CapacityTechFuel,2026,ICE,HFO,Diesel,137.0
Benin,Benin,CapacityTechFuel,2026,OCGT,LFO,Diesel,0.0
Benin,Benin,CapacityTechFuel,2026,OCGT,Diesel,Diesel,0.0
Benin,Benin,CapacityTechFuel,2026,OCGT,HFO,Diesel,0.0
Benin,Benin,CapacityTechFuel,2026,ST,HFO,Diesel,0.0
Benin,Benin,CapacityTechFuel,2026,BiomassPlant,Biomass,Biomass,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Biomass,Biomass,0.0
Benin,Benin,CapacityTechFuel,2026,Biogas,Biogas,Biomass,0.0
Benin,Benin,CapacityTechFuel,2026,ReservoirHydro,Water,Reservoir,0.0
Benin,Benin,CapacityTechFuel,2026,STO HY,Water,Reservoir,0.0
Benin,Benin,CapacityTechFuel,2026,ROR,Water,ROR,0.0
Benin,Benin,CapacityTechFuel,2026,CSPPlant,CSP,CSP,0.0
Benin,Benin,CapacityTechFuel,2026,CSP,CSP,CSP,0.0
Benin,Benin,CapacityTechFuel,2026,OffshoreWind,Wind,Offshore Wind,0.0
Benin,Benin,CapacityTechFuel,2026,Wind,Wind,Onshore Wind,0.0
Benin,Benin,CapacityTechFuel,2026,OnshoreWind,Wind,Onshore Wind,0.0
Benin,Benin,CapacityTechFuel,2026,PV,Solar,PV,87.0
Benin,Benin,CapacityTechFuel,2026,PV,PV,PV,0.0
Benin,Benin,CapacityTechFuel,2026,pvwsto,Solar,PV+Storage,0.0
Benin,Benin,CapacityTechFuel,2026,STOPV,Solar,Solar Thermal,0.0
Benin,Benin,CapacityTechFuel,2026,Storage,Battery,Battery,0.0
Benin,Benin,CapacityTechFuel,2026,Storage,Water,PSH,0.0
Benin,Benin,CapacityTechFuel,2026,Storage,Pumped,PSH,0.0
Benin,Benin,CapacityTechFuel,2026,ImportTransmission,Import,Imports,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Peat,Peat,0.0
Benin,Benin,CapacityTechFuel,2026,ST,Waste,Waste,0.0
Benin,Benin,CapacityTechFuel,2026,Methane,Methane,Methane,0.0
Benin,Benin,CapacityTechFuel,2026,RPV,Solar,Solar,0.0
Benin,Benin,CapacityTechFuel,2026,CSPPlant,Solar,Solar,0.0
Benin,Benin,CapacityTechFuel,2027,Nuclear,Uranium,Nuclear,0.0
Benin,Benin,CapacityTechFuel,2027,CCGT,Gas,Gas,42.0
Benin,Benin,CapacityTechFuel,2027,CCGT,LNG,Gas,0.0
Benin,Benin,CapacityTechFuel,2027,CCGT,ALC,Gas,0.0
