g,z,tech,f,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,CapexMWh,VOMMWh,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,uni_1,fuel2,HeatRate2
Storage_Pobe,Benin,Storage,Battery,2,2027,2050,20,5,5,5,20,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Guinea,Guinea,Storage,Battery,3,2030,2050,20,30000,1000,1000,120000,,0.85,,13874,250,,,1,1,,1,,,
BESS Yekepa / Buchanan 15 /60,Liberia,Storage,Battery,2,2028,2050,20,60,60,60,240,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2026_Senegal,Senegal,Storage,Battery,3,2026,2050,20,,0,,,,0.85,,40000,250,,,1,1,,0.5,,,
Storage_CAND_2027_Benin,Benin,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Burkina,Burkina,Storage,Battery,3,2029,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Gambia,Gambia,Storage,Battery,3,2030,2050,20,30000,20,20,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Ghana,Ghana,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Battery Candidate ,GuineaBissau,Storage,Battery,3,2030,2050,20,1000,10,10,4000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_IvoryCoast,IvoryCoast,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Liberia,Liberia,Storage,Battery,3,2028,2050,20,200,60,60,800,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Mali,Mali,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Niger,Niger,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_SierraLeone,SierraLeone,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Togo,Togo,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Mauritania_grid,Mauritania_grid,Storage,Battery,3,2027,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
8MWh_4h_Gambia,Gambia,Storage,Battery,1,2024,2050,20,2,2,2,8,,0.85,,13873.86,250,,,1,1,,0.5,,,
Storage_CAND_2027_Nigeria,Nigeria,Storage,Battery,3,2030,2050,20,30000,1000,1000,120000,,0.85,,13873.86,250,,,1,1,,0.5,,,
BESS DIASS  1h,Senegal,Storage,Battery,2,2026,2050,20,56,56,56,56,,0.85,,10000,250,,,1,1,,0.5,,,
BESS KIAT 1h,Senegal,Storage,Battery,2,2027,2050,20,10,10,10,10,,0.85,,10000,250,,,1,1,,0.5,,,
