gen,zone,tech,fuel,StYr,RetrYr,Capacity,UnitSize,Status,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,Life
Kotu G6,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Kotu G7,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Kotu G8,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G1,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G3,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G4,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G6,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama G7,Gambia,ICE,HFO,2010,2050,6.4,6.4,1,,,,,0.6,,,,,,,,,,
Brikama II,Gambia,ICE,HFO,2010,2050,8.9,8.9,1,,,,,0.6,,,,,,,,,,
Karpower 1,Gambia,ICE,HFO,2010,2050,18.9,18.9,1,,,,,0.6,,,,,,,,,,
Karpower 2,Gambia,ICE,HFO,2010,2050,18.9,18.9,1,,,,,0.6,,,,,,,,,,
Farafenni,Gambia,ICE,HFO,2010,2050,4.8,4.8,1,,,,,0.6,,,,,,,,,,
Basse,Gambia,ICE,HFO,2010,2050,5.4,5.4,1,,,,,0.6,,,,,,,,,,
Brikama III,Gambia,ICE,HFO,2010,2050,18.4,9.2,1,,,,,0.6,,,,,,,,,,
Jambur PV,Gambia,PV,PV,2024,2050,23,1,1,,,,,0,,,,,,,,,,
Jambur BESS,Gambia,STORAGE,Battery,2024,2050,2,1,1,,,,,,,,,,,,,,,
New HFO,Gambia,ICE,HFO,2025,2050,1000,1,3,,,,1000,0.4,8.9,,,,,1,16,5,,
New Solar,Gambia,PV,PV,2025,2050,1000,1,3,,,,1000,0,,,,,,,,,,
New BESS,Gambia,STORAGE,Battery,2025,2050,0,1,3,,,,1000,,,,,,,,,,,
