# Use https://matplotlib.org/3.4.2/gallery/color/named_colors.html,
Processing,Color
# Fuels (standalone),
Coal,dimgray
Gas,firebrick
LNG,lightcoral
Water,darkblue
Solar,orange
Wind,darkturquoise
Import,thistle
HFO,saddlebrown
LFO,sandybrown
Uranium,purple
CSP,darkorange
Battery,darkkhaki
Diesel,darksalmon
Biomass,green
Geothermal,red
#Dispatch Attributes,
Demand,red
Exports,green
Generation,firebrick
Imports,thistle
Net exchange,purple
Storage Charge,pink
StorageEnergy,darkgreen
Transmission,purple
Unmet demand,firebrick
Excess generation,yellow
VRE curtailment,orange
#Cost Categories,
Investment costs,darkblue
Variable Cost,grey
Fuel costs,grey
Variable O&M,rosybrown
Fixed O&M,green
Spinning reserve costs,yellow
Unmet demand costs,firebrick
Unmet reserve costs,darkorange
Carbon costs,darkgreen
Trade costs,plum
Transmission costs,purple
Import costs with external zones: $m,purple
Export revenues with external zones: $m,orange
Startup costs,red
#Geography,
Angola,teal
Botswana,firebrick
DRC,dodgerblue
DRC_South,slateblue
Eswatini,goldenrod
Lesotho,darkgreen
Malawi,orchid
Mozal,steelblue
Mozambique,darkorange
Namibia,mediumvioletred
Tanzania,seagreen
Zambia,mediumslateblue
Zimbabwe,crimson
