Internal zone,External zone,Seasons,Import-Export,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034
Liberia,Export_Liberia,m1,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m2,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m3,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m4,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m5,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m6,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m7,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m8,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m9,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m10,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m11,Export,30,30,30,30,30,30,30,30,30,30,30,30
Liberia,Export_Liberia,m12,Export,30,30,30,30,30,30,30,30,30,30,30,30
